elecID,cNum
0,MATH 212
0,MATH 270
0,MATH 315
0,MATH 318
0,MATH 321
0,MATH 328
0,MATH 330
0,MATH 344
0,MATH 345
0,MATH 346
0,MATH 347
0,MATH 351
0,MATH 352
0,MATH 361
0,MATH 362
0,MATH 411
0,MATH 412
0,MATH 421
0,MATH 422
0,MATH 425
1,MATH 315
1,MATH 328
1,MATH 330
1,MATH 344
1,MATH 345
1,MATH 346
1,MATH 347
1,MATH 351
1,MATH 352
1,MATH 361
1,MATH 362
1,MATH 425
2,MATH 221
2,MATH 321
3,MATH 318
3,MATH 344
3,MATH 345
3,MATH 346
3,MATH 352
3,MATH 361
3,MATH 362
3,MATH 411
3,MATH 412
4,CS 171
4,CS 224
4,CS 255
4,CS 323
4,CS 325
4,CS 329
4,CS 355
4,CS 370
4,CS 377
4,CS 378
4,CS 424
4,CS 450
4,CS 452
4,CS 453
4,CS 455
4,CS 456
4,MATH 270
4,MATH 328
4,MATH 330
4,MATH 347
4,MATH 421
4,MATH 422
5,MATH 211
5,MATH 212
5,MATH 221
5,MATH 250
5,MATH 270
5,MATH 315
5,MATH 318
5,MATH 321
5,MATH 328
5,MATH 330
5,MATH 344
5,MATH 345
5,MATH 346
5,MATH 347
5,MATH 351
5,MATH 352
5,MATH 361
5,MATH 362
5,MATH 411
5,MATH 412
5,MATH 421
5,MATH 422
5,MATH 425
6,MATH 315
6,MATH 344
6,MATH 345
6,MATH 346
6,MATH 351
7,CS 325
7,CS 329
7,CS 355
7,CS 370
7,CS 377
7,CS 378
7,CS 424
7,CS 450
7,CS 452
7,CS 453
7,CS 455
7,CS 456
7,MATH 315
7,MATH 346
7,MATH 361
8,CS 325
8,CS 329
8,CS 355
8,CS 370
8,CS 377
8,CS 378
8,CS 452
8,CS 453
8,CS 455
8,CS 456
8,MATH 315
8,MATH 346
8,MATH 361
9,CS 325
9,CS 329
9,CS 355
9,CS 370
9,CS 377
9,CS 378
9,CS 452
9,CS 453
9,CS 455
9,CS 456
9,MATH 346
9,MATH 361
10,CS 323
10,CS 325
10,CS 370
10,CS 377
10,CS 378
11,CS 224
11,CS 323
11,CS 325
11,CS 329
11,CS 355
11,CS 370
11,CS 377
11,CS 378
11,CS 424
11,CS 450
11,CS 452
11,CS 453
11,CS 455
11,CS 456
